,Browsing + Categorisation,Components,Composites,Process composition,Data composition,Testing,Debugging,Interpretation,Dialog/form,Drag & drop,Forum,Public,PbEM,Icon,Textual,Flow diagram component,Explicit control flow,Wires,Flow diagram,Form,Average,Low,Domain expert,Technical expert,Advanced user,Consumer/Individual,Composite num downloads,Context-specific,Domain-specific,Mobile,Desktop,Web,Incompatibility prompts,Suggestions,Help,Screencasts,API/component documentation,Tutorials,Discussion forums,Examples,Level 2,Level 3,REST,Triggers,Actions,Branches,Loops,Tool-level,Semi-automation,No automation,Sharing composites,Data flow present,Application,Webpage/webapp,Component repository,Composite repository,Ad hoc,Fixed,Centralised,Decentralised,Explicit data flow,Implicit data flow,Mobile context,Web context,Composite description,Composite name,Upload/Publish composite,Rename composite,Save composite,Delete composite,Turn on/off composite,Acquire composite,Set/Edit composite parameters,Share composite on SNS,Edit composite,Execute composite,Activate component,Set/Edit component parameters,Use in composition,Tool documentation,Single composite I&Os,Multiple atomic I&Os,Component type,Browse + filter/search,Browse list,Other recommendations,No specification,In-app execution,Blog,External help/FAQ,No link,Control flow present,Component input(s),Component output(s)/result(s),Component options,Component icons,Composite creator,Component categories,Component icon,Component description,Component name,Form element
Browsing + Categorisation,13,11,5,9,7,5,5,9,11,5,3,6,9,12,8,6,7,4,3,8,6,2,11,9,10,12,3,5,4,3,3,8,3,5,10,5,6,9,5,11,3,5,4,4,10,4,2,6,8,3,5,12,6,4,10,5,6,4,6,4,4,3,3,4,3,7,4,6,7,6,5,4,4,4,8,4,7,9,10,10,2,3,4,3,8,4,9,8,7,5,6,17,5,5,8,4,4,6,11,5,11,5
Components,10,14,6,11,8,7,4,12,9,6,5,8,9,13,11,8,9,4,4,9,6,4,11,12,13,14,4,6,5,4,4,11,4,6,8,6,5,7,4,9,4,6,4,5,13,6,4,6,8,5,7,16,7,6,12,6,7,6,8,5,4,4,4,5,4,9,5,8,9,8,6,5,5,5,10,5,10,12,13,12,4,5,4,4,11,4,10,11,7,7,8,21,7,7,11,5,6,7,12,6,14,8
Composites,5,7,6,6,4,2,1,6,4,1,3,6,6,9,7,1,5,1,1,4,5,0,5,6,6,7,4,3,4,3,0,7,2,4,4,3,3,4,2,6,3,2,2,5,7,3,2,4,5,1,6,8,3,4,6,6,2,4,6,0,2,2,3,3,4,5,5,5,6,6,5,5,4,5,7,2,6,6,6,5,2,3,4,0,5,2,6,6,6,3,2,11,4,4,5,5,5,4,7,4,7,3
Process composition,9,12,6,15,11,7,4,11,10,4,5,7,8,13,11,5,8,5,3,9,6,4,9,11,11,14,4,6,5,4,3,9,7,4,7,5,6,9,5,9,4,7,6,5,12,5,3,6,9,3,7,16,6,5,10,6,6,5,7,4,4,4,4,4,4,9,5,8,9,8,6,5,5,5,10,5,9,11,11,10,4,5,4,4,9,2,9,11,6,6,6,22,7,7,11,5,6,7,11,5,12,8
Data composition,7,9,4,11,18,6,6,8,10,4,3,5,7,7,8,5,5,6,3,8,5,5,7,11,8,15,2,3,5,1,3,9,12,3,8,3,7,10,6,12,2,9,7,3,9,4,3,3,9,3,5,18,3,5,7,4,3,5,5,3,6,4,1,4,4,6,3,5,6,5,3,3,4,3,6,4,6,8,8,6,4,5,2,3,8,3,6,8,5,3,2,17,7,7,8,3,4,5,5,4,8,6
Testing,5,8,2,7,6,7,4,7,5,4,3,3,4,6,6,5,4,3,3,5,3,4,6,7,7,8,1,4,3,1,3,6,3,1,4,4,3,2,3,4,1,6,3,1,7,3,2,3,5,2,3,12,3,3,6,2,4,3,3,4,3,3,1,3,2,5,1,4,5,4,2,1,2,1,5,5,5,7,7,6,3,3,1,4,7,0,5,7,2,3,4,14,5,5,7,1,2,4,4,2,7,6
Debugging,5,4,1,4,6,4,6,4,5,4,2,1,4,2,4,5,2,4,3,3,1,3,4,4,4,6,1,1,2,0,3,2,4,0,4,2,4,3,4,5,0,4,2,0,4,3,2,1,4,1,1,10,2,1,4,1,3,1,1,3,5,1,0,1,1,4,1,2,3,2,0,1,2,0,3,3,2,4,4,3,3,2,0,3,4,0,3,4,2,2,0,9,4,4,4,0,2,3,3,2,4,3
Interpretation,9,13,6,11,8,7,4,12,9,5,5,8,8,13,11,5,8,3,3,9,6,4,10,12,12,13,4,6,5,4,3,11,4,6,7,5,5,6,4,8,4,6,4,5,13,5,3,6,8,4,7,16,6,6,11,6,6,6,8,4,4,4,4,5,4,9,5,8,9,8,6,5,5,5,10,5,10,12,12,11,4,5,4,4,10,3,10,11,6,6,8,21,7,7,11,5,6,7,11,6,13,8
Dialog/form,9,9,4,9,7,4,3,8,22,2,3,7,6,11,6,2,7,6,1,17,6,2,9,11,9,11,2,5,2,3,1,8,4,5,8,4,7,9,5,9,4,11,5,4,9,2,1,5,13,2,5,10,3,4,7,4,4,4,6,2,3,3,3,4,2,5,3,6,6,6,5,3,2,4,7,3,8,8,8,8,1,3,4,2,6,3,6,7,5,4,8,18,3,3,7,4,4,3,9,3,9,6
Drag & drop,5,6,1,4,4,4,4,5,2,6,2,2,4,2,4,8,3,4,4,2,1,3,5,5,6,7,1,1,2,0,4,4,3,2,4,3,2,3,2,4,0,3,2,0,5,4,3,1,3,3,1,8,3,2,6,1,4,2,2,4,3,1,0,2,1,4,1,2,3,2,0,1,2,0,3,3,3,5,6,5,3,2,0,3,6,2,4,4,2,3,2,8,4,4,4,0,2,3,4,3,6,3
