,Browsing + Categorisation,Components,Process composition,Data composition,Testing,Interpretation,Dialog/form,Public,PbEM,Icon,Textual,Explicit control flow,Form,Domain expert,Technical expert,Advanced user,Consumer/Individual,Help,Tutorials,Examples,Actions,Semi-automation,Sharing composites,Data flow present,Application,Component repository,Ad hoc,Centralised,Composite name,Rename composite,Save composite,Delete composite,Edit composite,Activate component,Set/Edit component parameters,Use in composition,Tool documentation,Browse list,No specification,In-app execution,Blog,External help/FAQ,Control flow present,Component input(s),Component output(s)/result(s),Component options,Component categories,Component icon,Component name,Form element
Browsing + Categorisation,13,11,9,7,5,9,11,6,9,12,8,7,8,11,9,10,12,10,9,11,10,8,5,12,6,10,6,6,7,6,7,6,8,7,9,10,10,8,9,8,7,5,17,5,5,8,6,11,11,5
Components,10,14,11,8,7,12,9,8,9,13,11,9,9,11,12,13,14,8,7,9,13,8,7,16,7,12,7,8,9,8,9,8,10,10,12,13,12,11,10,11,7,7,21,7,7,11,7,12,14,8
Process composition,9,12,15,11,7,11,10,7,8,13,11,8,9,9,11,11,14,7,9,9,12,9,7,16,6,10,6,7,9,8,9,8,10,9,11,11,10,9,9,11,6,6,22,7,7,11,7,11,12,8
Data composition,7,9,11,18,6,8,10,5,7,7,8,5,8,7,11,8,15,8,10,12,9,9,5,18,3,7,3,5,6,5,6,5,6,6,8,8,6,8,6,8,5,3,17,7,7,8,5,5,8,6
Testing,5,8,7,6,7,7,5,3,4,6,6,4,5,6,7,7,8,4,2,4,7,5,3,12,3,6,4,3,5,4,5,4,5,5,7,7,6,7,5,7,2,3,14,5,5,7,4,4,7,6
Interpretation,9,13,11,8,7,12,9,8,8,13,11,8,9,10,12,12,13,7,6,8,13,8,7,16,6,11,6,8,9,8,9,8,10,10,12,12,11,10,10,11,6,6,21,7,7,11,7,11,13,8
Dialog/form,9,9,9,7,4,8,22,7,6,11,6,7,17,9,11,9,11,8,9,9,9,13,5,10,3,7,4,6,5,6,6,6,7,8,8,8,8,6,6,7,5,4,18,3,3,7,3,9,9,6
Public,6,9,7,5,3,8,8,9,6,9,7,6,8,7,9,8,9,5,5,6,9,6,7,10,3,7,2,8,5,5,6,6,7,8,8,8,6,7,7,7,6,3,14,4,4,6,4,7,9,5
PbEM,9,10,8,7,4,8,8,6,11,11,9,7,7,9,9,9,10,7,6,10,9,8,6,13,6,9,5,6,7,6,7,6,8,6,8,9,8,8,8,8,7,5,17,6,6,8,6,10,10,4
Icon,6,8,7,4,3,7,6,5,6,15,9,7,6,6,7,7,7,5,4,6,8,7,5,8,5,7,4,5,6,7,7,6,8,6,7,7,8,5,7,7,5,4,13,4,4,7,5,9,8,4
