,Text-based search,Browsing + Categorisation,Context-specific suggestions,Components,Composites,Process composition,Data composition,Automatic UI generation,Webpage composition,Widget composition,Visual UI composition,Textual UI composition,Testing,Debugging,Code generation,Interpretation,Compilation,Spreadsheet,Dialog/form,WYSIWYG,PbD,Drag & drop,Sharing components,Textual DSL,Full language,Forum,Wiki,Public,Private,PbEM,Blackboard,Icon,Textual,Flow diagram component,Explicit control flow,Implicit control flow,Wires,Non-wire graphics,Visual DSL,Flow diagram,Form,Page flow,High,Average,Low,Layman,Domain expert,Technical expert,Advanced user,Consumer/Individual,Enterprise/Organisation,Plain list,Rate component,Composite num downloads,Generic,Context-specific,Domain-specific,Specialised,Mobile,Desktop,Web,Incompatibility prompts,Suggestions,Help,User goal/requirement mapping,VCS,Screencasts,API/component documentation,Tutorials,Discussion forums,Composite ratings,Examples,Level 1,Level 2,Level 3,Level 4,SOAP,REST,RSS,ATOM,Widget,Scraping/DOM,JSON,XML,WSDL,WADL,Triggers,Actions,Filters,Branches,Loops,Tool-level,Composition level,Full automation,Semi-automation,No automation,Service layer,Application layer,Presentation layer,Review composite,Sharing composites,Data flow present,Application,Plug-in,Platform,Webpage/webapp,Component repository,Composite repository,Ad hoc,Fixed,Centralised,Decentralised,Spreadsheet representation,WYSIWYG representation,Textual DSL representation,Full language representation,Explicit data flow,Implicit data flow,Visual DSL representation,Export,Mobile context,Desktop context,Web context,JSON message format,XML message format,Composite description,Composite name,Composite num uses,Composite age,Composite num SNS shares,Upload/Publish composite,Copy composite,Export composite,Rename composite,Save composite,Rate composite,Delete composite,Turn on/off composite,Acquire composite,Set/Edit composite parameters,Share composite on SNS,Edit composite,Execute composite,Activate component,Set/Edit component parameters,Use in composition,Tool documentation,Single composite I&Os,Multiple atomic I&Os,Component names,Assign tags to composite,Component type,Browse + filter/search,Browse list,Text entry,Other recommendations,Composite reviews,No specification,In-app execution,Blog,External help/FAQ,No link,Text editor,No abstraction,Create new app,Dummy test data,Control flow present,Composite Tags,Composite categories,Component requirements/prerequisites,Component input(s),Component output(s)/result(s),Component options,Component example usage,Component icons,Component descriptions,Composite properties,Composite creator,Component version,Composite copyright,Component related actions,Composite notes,Composite location,Component categories,Composite icon,Component num uses,Component age,Component num SNS shares,Component num downloads,Component reviews,Component ratings,Component copyright,Component creator,Component icon,Component notes,Component location,Component tags,Component description,Component name,Component num users,Component num ratings,Form element,SNS support,Composite num ratings,Composite version,View example usage,Import component,Composite num users,Review component,Selecting & customising UI,Extension APIs,UI composition,Low learning curve,Medium learning curve,High learning curve,Framework
Text-based search,0.018115942029,0.0108695652174,0.0036231884058,0.0108695652174,0.0036231884058,0.00724637681159,0.0144927536232,0,0.0036231884058,0.00724637681159,0.0036231884058,0,0.0036231884058,0.0108695652174,0.0036231884058,0.0108695652174,0,0,0.0217391304348,0.0036231884058,0,0.00724637681159,0.0036231884058,0.0108695652174,0.0036231884058,0.00724637681159,0,0.00724637681159,0.0036231884058,0.00724637681159,0,0.0036231884058,0.0108695652174,0.00724637681159,0.00724637681159,0.0036231884058,0.00724637681159,0,0.0144927536232,0.0036231884058,0.0144927536232,0,0,0,0.0036231884058,0.0036231884058,0.00724637681159,0.0108695652174,0.0108695652174,0.0144927536232,0,0,0,0.0036231884058,0.0036231884058,0,0.0036231884058,0.00724637681159,0.0036231884058,0.0036231884058,0.0108695652174,0.0108695652174,0.0108695652174,0.0144927536232,0,0.0036231884058,0.0036231884058,0.0144927536232,0.0144927536232,0.0144927536232,0.00724637681159,0.0108695652174,0,0,0.00724637681159,0,0.0036231884058,0.00724637681159,0.00724637681159,0.00724637681159,0.00724637681159,0,0,0,0,0,0.0036231884058,0.0108695652174,0,0.00724637681159,0.00724637681159,0,0,0,0.00724637681159,0.00724637681159,0,0,0.0036231884058,0,0.0036231884058,0.0217391304348,0.0036231884058,0.0036231884058,0,0.00724637681159,0.0108695652174,0.0036231884058,0.0036231884058,0.00724637681159,0.00724637681159,0.0036231884058,0,0.00724637681159,0,0.0036231884058,0.0144927536232,0,0,0,0.0036231884058,0.0036231884058,0.0036231884058,0.0036231884058,0,0.0036231884058,0.00724637681159,0,0,0.0036231884058,0.0036231884058,0,0,0.00724637681159,0.00724637681159,0.00724637681159,0.00724637681159,0.0036231884058,0.0036231884058,0.0036231884058,0.0036231884058,0.00724637681159,0.0036231884058,0.0108695652174,0.0108695652174,0.0108695652174,0.0108695652174,0.00724637681159,0.00724637681159,0,0.00724637681159,0,0.0036231884058,0.0108695652174,0.0036231884058,0.0036231884058,0,0.00724637681159,0.00724637681159,0.00724637681159,0.00724637681159,0.00724637681159,0.0036231884058,0.00724637681159,0,0,0.018115942029,0.00724637681159,0,0,0.00724637681159,0.00724637681159,0.00724637681159,0.0036231884058,0.0036231884058,0,0,0.00724637681159,0,0,0,0,0,0.0036231884058,0.0036231884058,0,0,0,0,0,0.0036231884058,0,0.0036231884058,0.0036231884058,0.0036231884058,0.0036231884058,0,0.00724637681159,0.0108695652174,0.0036231884058,0.0036231884058,0.0036231884058,0,0,0.0036231884058,0,0,0,0,0.0036231884058,0.00724637681159,0,0,0.0036231884058,0.0036231884058,0
Browsing + Categorisation,0.00386597938144,0.0167525773196,0.00257731958763,0.014175257732,0.00644329896907,0.0115979381443,0.0090206185567,0.00128865979381,0.00128865979381,0.00386597938144,0.00515463917526,0,0.00644329896907,0.00644329896907,0.00128865979381,0.0115979381443,0,0,0.014175257732,0.00257731958763,0,0.00644329896907,0.00257731958763,0.00386597938144,0,0.00386597938144,0.00128865979381,0.00773195876289,0.00128865979381,0.0115979381443,0,0.0154639175258,0.0103092783505,0.00773195876289,0.0090206185567,0.00386597938144,0.00515463917526,0.00386597938144,0.00773195876289,0.00386597938144,0.0103092783505,0,0,0.00773195876289,0.00257731958763,0.00257731958763,0.014175257732,0.0115979381443,0.0128865979381,0.0154639175258,0.00386597938144,0.00257731958763,0,0.00386597938144,0.00257731958763,0.00644329896907,0.00515463917526,0.00257731958763,0.00386597938144,0.00386597938144,0.0103092783505,0.00386597938144,0.00644329896907,0.0128865979381,0,0.00257731958763,0.00644329896907,0.00773195876289,0.0115979381443,0.00644329896907,0.00515463917526,0.014175257732,0.00128865979381,0.00386597938144,0.00644329896907,0.00128865979381,0.00128865979381,0.00515463917526,0.00515463917526,0.00515463917526,0.00257731958763,0,0.00128865979381,0,0,0,0.00515463917526,0.0128865979381,0.00128865979381,0.00515463917526,0.00257731958763,0.00773195876289,0.00128865979381,0,0.0103092783505,0.00386597938144,0,0,0.00257731958763,0,0.00644329896907,0.0154639175258,0.00773195876289,0,0,0.00515463917526,0.0128865979381,0.00644329896907,0.00773195876289,0.00515463917526,0.00773195876289,0.00515463917526,0,0.00386597938144,0.00257731958763,0,0.00515463917526,0.00386597938144,0,0.00128865979381,0.00386597938144,0.00257731958763,0.00515463917526,0.00128865979381,0,0.00386597938144,0.0090206185567,0.00128865979381,0.00257731958763,0,0.00515463917526,0.00257731958763,0.00128865979381,0.00773195876289,0.0090206185567,0.00257731958763,0.00773195876289,0.00644329896907,0.00515463917526,0.00515463917526,0.00515463917526,0.0103092783505,0.00515463917526,0.0090206185567,0.0115979381443,0.0128865979381,0.0128865979381,0.00257731958763,0.00386597938144,0.00257731958763,0.00386597938144,0.00515463917526,0.00386597938144,0.0103092783505,0,0.00515463917526,0,0.0115979381443,0.0103092783505,0.0090206185567,0.00644329896907,0.00773195876289,0,0.00257731958763,0.00128865979381,0.00128865979381,0.0219072164948,0.00515463917526,0,0.00128865979381,0.00644329896907,0.00644329896907,0.0103092783505,0.00257731958763,0.00515463917526,0.00386597938144,0.00128865979381,0.00515463917526,0.00128865979381,0,0.00257731958763,0,0,0.00773195876289,0.00386597938144,0,0.00128865979381,0,0,0,0.00128865979381,0.00257731958763,0.00257731958763,0.014175257732,0,0.00257731958763,0,0.00644329896907,0.014175257732,0.00128865979381,0.00128865979381,0.00644329896907,0.00386597938144,0,0,0.00128865979381,0,0,0,0.00128865979381,0.00386597938144,0.00128865979381,0.00128865979381,0.00257731958763,0.00128865979381,0
Context-specific suggestions,0.00833333333333,0.0166666666667,0.0166666666667,0.00833333333333,0.00833333333333,0.00833333333333,0.0166666666667,0,0,0.00833333333333,0,0,0,0.00833333333333,0,0.00833333333333,0,0,0.0166666666667,0,0,0,0,0.00833333333333,0,0,0,0.00833333333333,0,0.00833333333333,0,0.0166666666667,0.00833333333333,0,0.00833333333333,0,0.00833333333333,0.00833333333333,0.00833333333333,0,0.00833333333333,0,0,0.00833333333333,0,0.00833333333333,0.00833333333333,0.00833333333333,0.00833333333333,0.0166666666667,0,0,0,0,0,0,0.00833333333333,0,0,0,0.0166666666667,0.00833333333333,0.00833333333333,0.0166666666667,0,0,0,0.0166666666667,0.0166666666667,0.00833333333333,0.00833333333333,0.0166666666667,0,0.00833333333333,0,0,0.00833333333333,0.00833333333333,0.00833333333333,0.00833333333333,0.00833333333333,0,0,0,0,0,0.00833333333333,0.0166666666667,0,0,0,0.00833333333333,0,0,0.00833333333333,0,0,0,0,0,0.00833333333333,0.025,0,0,0,0.00833333333333,0.00833333333333,0.00833333333333,0,0.00833333333333,0.00833333333333,0,0,0,0.00833333333333,0,0.00833333333333,0.00833333333333,0,0,0,0,0.00833333333333,0,0,0.00833333333333,0.00833333333333,0.00833333333333,0.00833333333333,0,0.00833333333333,0,0,0.00833333333333,0.00833333333333,0.00833333333333,0.00833333333333,0.00833333333333,0.00833333333333,0.00833333333333,0.00833333333333,0.00833333333333,0,0.00833333333333,0.00833333333333,0.00833333333333,0.00833333333333,0,0.00833333333333,0,0.00833333333333,0.00833333333333,0,0,0,0.00833333333333,0,0.00833333333333,0.00833333333333,0.0166666666667,0,0,0,0,0,0,0.0166666666667,0.00833333333333,0,0,0.00833333333333,0.00833333333333,0.00833333333333,0.00833333333333,0.00833333333333,0,0.00833333333333,0.00833333333333,0,0,0.00833333333333,0,0,0.00833333333333,0,0,0,0,0,0,0,0,0,0.0166666666667,0,0,0,0.00833333333333,0.00833333333333,0,0,0.00833333333333,0.00833333333333,0,0,0.00833333333333,0,0,0,0.00833333333333,0.00833333333333,0,0,0.00833333333333,0,0
Components,0.00332594235033,0.0110864745011,0.00110864745011,0.0155210643016,0.00665188470067,0.0121951219512,0.00886917960089,0,0.00110864745011,0.00110864745011,0.00221729490022,0,0.00776053215078,0.00443458980044,0.00221729490022,0.0133037694013,0,0,0.009977827051,0.00110864745011,0,0.00665188470067,0.00221729490022,0.00110864745011,0.00110864745011,0.00554323725055,0.00110864745011,0.00886917960089,0,0.009977827051,0,0.0144124168514,0.0121951219512,0.00886917960089,0.009977827051,0.00332594235033,0.00443458980044,0.00332594235033,0.00332594235033,0.00443458980044,0.009977827051,0,0,0.00665188470067,0.00443458980044,0.00221729490022,0.0121951219512,0.0133037694013,0.0144124168514,0.0155210643016,0.00332594235033,0.00332594235033,0,0.00443458980044,0.00221729490022,0.00665188470067,0.00554323725055,0.00221729490022,0.00443458980044,0.00443458980044,0.0121951219512,0.00443458980044,0.00665188470067,0.00886917960089,0,0,0.00665188470067,0.00554323725055,0.00776053215078,0.00443458980044,0.00221729490022,0.009977827051,0.00110864745011,0.00443458980044,0.00665188470067,0.00110864745011,0,0.00443458980044,0.00443458980044,0.00443458980044,0.00110864745011,0,0.00110864745011,0,0,0,0.00554323725055,0.0144124168514,0.00110864745011,0.00665188470067,0.00443458980044,0.00665188470067,0.00110864745011,0,0.00886917960089,0.00554323725055,0.00110864745011,0,0.00221729490022,0,0.00776053215078,0.0177383592018,0.00776053215078,0.00110864745011,0,0.00665188470067,0.0133037694013,0.00665188470067,0.00776053215078,0.00665188470067,0.00886917960089,0.00554323725055,0,0.00332594235033,0.00221729490022,0.00110864745011,0.00443458980044,0.00443458980044,0,0.00221729490022,0.00443458980044,0.00332594235033,0.00554323725055,0.00221729490022,0.00110864745011,0.00443458980044,0.009977827051,0.00110864745011,0.00221729490022,0.00110864745011,0.00554323725055,0.00221729490022,0.00221729490022,0.00886917960089,0.009977827051,0,0.00886917960089,0.00665188470067,0.00554323725055,0.00554323725055,0.00554323725055,0.0110864745011,0.00554323725055,0.0110864745011,0.0133037694013,0.0144124168514,0.0133037694013,0.00443458980044,0.00554323725055,0.00221729490022,0.00110864745011,0.00443458980044,0.00443458980044,0.0121951219512,0.00221729490022,0.00443458980044,0,0.0110864745011,0.0121951219512,0.00776053215078,0.00776053215078,0.00886917960089,0.00110864745011,0.00332594235033,0.00110864745011,0.00110864745011,0.0232815964523,0.00221729490022,0,0.00110864745011,0.00776053215078,0.00776053215078,0.0121951219512,0.00332594235033,0.00554323725055,0.00332594235033,0.00110864745011,0.00665188470067,0.00110864745011,0,0.00221729490022,0,0,0.00776053215078,0.00443458980044,0,0.00110864745011,0,0,0,0.00110864745011,0.00221729490022,0.00332594235033,0.0133037694013,0.00110864745011,0.00221729490022,0,0.00665188470067,0.0155210643016,0.00110864745011,0.00110864745011,0.00886917960089,0.00332594235033,0,0.00110864745011,0.00110864745011,0.00110864745011,0,0,0,0,0.00110864745011,0.00110864745011,0.00110864745011,0.00110864745011,0
Composites,0.00205761316872,0.0102880658436,0.00205761316872,0.0144032921811,0.0123456790123,0.0123456790123,0.0082304526749,0,0,0,0,0,0.00411522633745,0.00205761316872,0.00205761316872,0.0123456790123,0,0,0.0082304526749,0,0,0.00205761316872,0,0,0.00205761316872,0.00617283950617,0,0.0123456790123,0,0.0123456790123,0,0.0185185185185,0.0144032921811,0.00205761316872,0.0102880658436,0.00205761316872,0.00205761316872,0.00411522633745,0,0.00205761316872,0.0082304526749,0,0,0.0102880658436,0,0.00205761316872,0.0102880658436,0.0123456790123,0.0123456790123,0.0144032921811,0.00411522633745,0,0,0.0082304526749,0,0.00617283950617,0.0082304526749,0.00205761316872,0.00617283950617,0,0.0144032921811,0.00411522633745,0.0082304526749,0.0082304526749,0,0,0.00617283950617,0.00617283950617,0.0082304526749,0.00411522633745,0.00411522633745,0.0123456790123,0,0.00617283950617,0.00411522633745,0,0,0.00411522633745,0.00411522633745,0.00411522633745,0,0,0.00205761316872,0,0,0,0.0102880658436,0.0144032921811,0.00205761316872,0.00617283950617,0.00411522633745,0.0082304526749,0,0,0.0102880658436,0.00205761316872,0,0,0,0,0.0123456790123,0.0164609053498,0.00617283950617,0,0,0.0082304526749,0.0123456790123,0.0123456790123,0.00411522633745,0.0082304526749,0.0123456790123,0,0,0,0.00411522633745,0.00205761316872,0.00411522633745,0.00411522633745,0,0,0.00617283950617,0,0.00617283950617,0.00411522633745,0,0.0082304526749,0.0102880658436,0.00205761316872,0.00411522633745,0.00205761316872,0.0102880658436,0.00411522633745,0,0.0102880658436,0.0123456790123,0,0.0123456790123,0.0102880658436,0.0102880658436,0.0082304526749,0.0102880658436,0.0144032921811,0.00411522633745,0.0123456790123,0.0123456790123,0.0123456790123,0.0102880658436,0.00411522633745,0.00617283950617,0.00411522633745,0.00205761316872,0.0082304526749,0,0.0102880658436,0,0.00411522633745,0,0.0123456790123,0.0123456790123,0.0123456790123,0.00617283950617,0.00411522633745,0.00205761316872,0.00205761316872,0,0.00205761316872,0.022633744856,0.00411522633745,0,0,0.0082304526749,0.0082304526749,0.0102880658436,0.00617283950617,0.0102880658436,0.00411522633745,0.00205761316872,0.0102880658436,0,0,0.00205761316872,0,0,0.0082304526749,0.00205761316872,0,0.00205761316872,0,0,0,0,0,0.00205761316872,0.0144032921811,0,0,0,0.0082304526749,0.0144032921811,0,0,0.00617283950617,0.00617283950617,0,0,0.00205761316872,0,0,0,0,0,0,0.00205761316872,0.00205761316872,0,0
Process composition,0.00230149597238,0.0103567318757,0.00115074798619,0.0138089758343,0.00690448791715,0.0172612197929,0.0126582278481,0.00115074798619,0,0,0.00230149597238,0,0.00805523590334,0.00460299194476,0.00230149597238,0.0126582278481,0,0,0.0115074798619,0.00115074798619,0,0.00460299194476,0.00115074798619,0.00345224395857,0.00115074798619,0.00575373993096,0.00115074798619,0.00805523590334,0,0.00920598388953,0,0.0149597238205,0.0126582278481,0.00575373993096,0.00920598388953,0.00345224395857,0.00575373993096,0.00345224395857,0.00345224395857,0.00345224395857,0.0103567318757,0,0,0.00690448791715,0.00460299194476,0.00115074798619,0.0103567318757,0.0126582278481,0.0126582278481,0.0161104718067,0.00345224395857,0.00345224395857,0,0.00460299194476,0,0.00690448791715,0.00575373993096,0.00345224395857,0.00460299194476,0.00345224395857,0.0103567318757,0.00805523590334,0.00460299194476,0.00805523590334,0.00230149597238,0.00115074798619,0.00575373993096,0.00690448791715,0.0103567318757,0.00575373993096,0.00230149597238,0.0103567318757,0,0.00460299194476,0.00805523590334,0.00115074798619,0.00345224395857,0.00690448791715,0.00690448791715,0.00575373993096,0.00230149597238,0,0.00115074798619,0,0,0,0.00575373993096,0.0138089758343,0.00115074798619,0.00575373993096,0.00345224395857,0.00690448791715,0.00115074798619,0,0.0103567318757,0.00345224395857,0.00115074798619,0,0,0,0.00805523590334,0.0184119677791,0.00690448791715,0.00115074798619,0,0.00575373993096,0.0115074798619,0.00690448791715,0.00690448791715,0.00575373993096,0.00805523590334,0.00460299194476,0,0,0.00230149597238,0.00115074798619,0.00460299194476,0.00460299194476,0,0.00115074798619,0.00460299194476,0.00345224395857,0.00460299194476,0.00230149597238,0.00115074798619,0.00460299194476,0.0103567318757,0.00115074798619,0.00230149597238,0.00115074798619,0.00575373993096,0.00230149597238,0.00230149597238,0.00920598388953,0.0103567318757,0,0.00920598388953,0.00690448791715,0.00575373993096,0.00575373993096,0.00575373993096,0.0115074798619,0.00575373993096,0.0103567318757,0.0126582278481,0.0126582278481,0.0115074798619,0.00460299194476,0.00575373993096,0.00230149597238,0.00115074798619,0.00460299194476,0.00460299194476,0.0103567318757,0.00230149597238,0.00230149597238,0,0.0103567318757,0.0126582278481,0.00690448791715,0.00690448791715,0.00690448791715,0.00115074798619,0.00115074798619,0.00115074798619,0.00115074798619,0.0253164556962,0.00230149597238,0,0.00115074798619,0.00805523590334,0.00805523590334,0.0126582278481,0.00345224395857,0.00575373993096,0.00345224395857,0.00115074798619,0.00690448791715,0.00115074798619,0,0.00230149597238,0,0,0.00805523590334,0.00460299194476,0,0.00115074798619,0,0,0,0,0.00230149597238,0.00345224395857,0.0126582278481,0.00115074798619,0.00115074798619,0,0.00575373993096,0.0138089758343,0,0,0.00920598388953,0.00345224395857,0,0.00115074798619,0.00115074798619,0.00115074798619,0,0,0,0.00115074798619,0.00345224395857,0.00115074798619,0.00460299194476,0.00230149597238,0.00345224395857
Data composition,0.00523560209424,0.00916230366492,0.00261780104712,0.011780104712,0.00523560209424,0.0143979057592,0.0235602094241,0,0,0.00261780104712,0.00130890052356,0.00130890052356,0.00785340314136,0.00785340314136,0.00130890052356,0.0104712041885,0,0.00261780104712,0.0130890052356,0.00261780104712,0.00392670157068,0.00523560209424,0,0.0065445026178,0.00130890052356,0.00392670157068,0,0.0065445026178,0.00130890052356,0.00916230366492,0,0.00916230366492,0.0104712041885,0.0065445026178,0.0065445026178,0.00523560209424,0.00785340314136,0.00392670157068,0.0065445026178,0.00392670157068,0.0104712041885,0,0,0.0065445026178,0.0065445026178,0.00130890052356,0.00916230366492,0.0143979057592,0.0104712041885,0.0196335078534,0.0065445026178,0.00261780104712,0,0.00261780104712,0.00261780104712,0.00392670157068,0.0065445026178,0.00523560209424,0.00130890052356,0.00392670157068,0.011780104712,0.0157068062827,0.00392670157068,0.0104712041885,0.00392670157068,0.00130890052356,0.00392670157068,0.00916230366492,0.0130890052356,0.00785340314136,0.00392670157068,0.0157068062827,0,0.00261780104712,0.011780104712,0.00130890052356,0.00523560209424,0.00916230366492,0.00916230366492,0.00785340314136,0.00523560209424,0.00392670157068,0.00130890052356,0,0,0,0.00392670157068,0.011780104712,0.00130890052356,0.00523560209424,0.00392670157068,0.00392670157068,0.00130890052356,0,0.011780104712,0.00392670157068,0.00130890052356,0,0,0,0.0065445026178,0.0235602094241,0.00392670157068,0.00130890052356,0,0.0065445026178,0.00916230366492,0.00523560209424,0.00392670157068,0.0065445026178,0.0065445026178,0.00392670157068,0,0,0.00130890052356,0.00130890052356,0.00785340314136,0.00523560209424,0,0.00130890052356,0.00130890052356,0.00392670157068,0.00523560209424,0.00261780104712,0.00130890052356,0.00523560209424,0.00785340314136,0.00130890052356,0.00130890052356,0.00130890052356,0.00392670157068,0.00261780104712,0.00130890052356,0.0065445026178,0.00785340314136,0.00261780104712,0.0065445026178,0.00392670157068,0.00392670157068,0.00523560209424,0.00392670157068,0.00785340314136,0.00523560209424,0.00785340314136,0.0104712041885,0.0104712041885,0.00785340314136,0.00523560209424,0.0065445026178,0,0.00261780104712,0.00261780104712,0.00392670157068,0.0104712041885,0.00261780104712,0.00392670157068,0,0.00785340314136,0.0104712041885,0.0065445026178,0.00392670157068,0.00261780104712,0.00130890052356,0.00130890052356,0,0.00130890052356,0.0222513089005,0.00392670157068,0,0.00130890052356,0.00916230366492,0.00916230366492,0.0104712041885,0.00392670157068,0.00392670157068,0.00261780104712,0.00130890052356,0.00523560209424,0.00130890052356,0,0.00261780104712,0,0,0.0065445026178,0.00392670157068,0,0.00130890052356,0,0,0,0,0.00261780104712,0.00392670157068,0.0065445026178,0.00130890052356,0.00130890052356,0,0.00523560209424,0.0104712041885,0,0,0.00785340314136,0.00392670157068,0,0.00130890052356,0.00130890052356,0.00130890052356,0,0,0.00130890052356,0.00261780104712,0.00261780104712,0.00130890052356,0.00916230366492,0.00392670157068,0.00392670157068
Automatic UI generation,0,0.0666666666667,0,0,0,0.0666666666667,0,0.0666666666667,0,0,0.0666666666667,0,0,0,0,0,0,0,0.0666666666667,0,0,0,0,0.0666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666666666667,0,0.0666666666667,0,0.0666666666667,0.0666666666667,0.0666666666667,0,0.0666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666666666667,0,0,0,0,0
Webpage composition,0.0131578947368,0.0131578947368,0,0.0131578947368,0,0,0,0,0.0263157894737,0,0.0131578947368,0,0,0,0,0.0131578947368,0,0,0.0394736842105,0,0,0.0131578947368,0.0131578947368,0.0131578947368,0,0,0,0.0131578947368,0,0,0,0,0,0,0,0,0,0,0,0,0.0131578947368,0,0,0.0131578947368,0,0.0131578947368,0.0263157894737,0.0263157894737,0.0263157894737,0.0263157894737,0,0,0,0,0.0131578947368,0,0,0,0,0,0.0263157894737,0.0131578947368,0.0263157894737,0.0263157894737,0,0,0,0.0131578947368,0.0263157894737,0,0.0131578947368,0.0263157894737,0,0,0,0,0,0.0131578947368,0.0131578947368,0.0131578947368,0.0131578947368,0.0131578947368,0,0,0,0,0,0.0131578947368,0,0,0,0,0,0,0,0.0131578947368,0,0,0.0131578947368,0,0,0,0,0,0,0.0131578947368,0.0131578947368,0,0,0.0131578947368,0.0131578947368,0,0,0.0263157894737,0,0,0,0,0,0,0,0,0.0131578947368,0,0,0,0,0,0,0,0,0,0,0,0,0.0131578947368,0,0,0,0,0,0,0,0.0131578947368,0.0131578947368,0.0131578947368,0.0131578947368,0,0,0,0,0,0,0.0131578947368,0,0.0131578947368,0,0.0131578947368,0,0,0,0.0263157894737,0,0.0131578947368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0131578947368,0,0,0,0,0.0131578947368,0,0.0131578947368,0.0131578947368,0.0131578947368,0.0131578947368,0,0,0,0,0,0,0,0,0,0.0131578947368,0.0131578947368,0,0.0131578947368,0.0263157894737,0
Widget composition,0.0178571428571,0.0267857142857,0.00892857142857,0.00892857142857,0,0,0.0178571428571,0,0,0.0267857142857,0.0178571428571,0,0,0.0178571428571,0,0,0,0,0.0357142857143,0.0178571428571,0,0.00892857142857,0,0.0178571428571,0,0,0,0,0.00892857142857,0.0178571428571,0,0,0,0.0267857142857,0.00892857142857,0.00892857142857,0.0178571428571,0,0.0357142857143,0.00892857142857,0.0178571428571,0,0,0,0,0,0.0178571428571,0,0.00892857142857,0.0178571428571,0.00892857142857,0,0,0,0.00892857142857,0,0,0.00892857142857,0,0.00892857142857,0,0.00892857142857,0,0.0267857142857,0,0.00892857142857,0.00892857142857,0.0178571428571,0.0267857142857,0.0178571428571,0.0178571428571,0.0267857142857,0.00892857142857,0,0.00892857142857,0,0.00892857142857,0.00892857142857,0.00892857142857,0.00892857142857,0.00892857142857,0,0,0,0,0,0,0,0,0.00892857142857,0.00892857142857,0,0,0,0.00892857142857,0.00892857142857,0,0,0.00892857142857,0,0,0.0178571428571,0.00892857142857,0,0,0,0.00892857142857,0,0.00892857142857,0,0,0.00892857142857,0,0.00892857142857,0,0,0.0178571428571,0,0,0.00892857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178571428571,0,0,0,0,0,0,0,0,0,0.00892857142857,0.00892857142857,0,0,0,0.0178571428571,0,0,0.00892857142857,0,0.00892857142857,0,0,0,0.0178571428571,0.00892857142857,0,0,0.00892857142857,0,0,0.00892857142857,0.0178571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00892857142857,0,0,0,0,0.00892857142857,0,0,0,0,0,0,0,0,0,0,0.00892857142857,0.0178571428571,0,0,0.00892857142857,0,0
