Components,Interpretation
Dialog / form,Form
Webpage/webapp,Fixed
Composites,Composite repository
Web,Webpage/webapp
Web,Fixed
Components,Actions
Components,Set/Edit component parameters
Upload/Publish composite,Acquire composite
Components,Use in composition
Data composition,Data flow present
PbEM,Examples
Save composite,Edit composite
Form,Dialog / form
Fixed,Webpage/webapp
Composite repository,Composites
Webpage/webapp,Web
Fixed,Web
Actions,Components
Set/Edit component parameters,Components
Acquire composite,Upload/Publish composite
Use in composition,Components
Data flow present,Data composition
Examples,PbEM
Edit composite,Save composite
Component repository,Use in composition
Rename composite,Save composite
Components,Process composition
Delete composite,Save composite
Components,Activate component
Composite repository,Acquire composite
Web context,Fixed
Share composite on SNS,Composite repository
Upload/Publish composite,Composite repository
Web context,Webpage/webapp
Webpage/webapp,Public
Composites,Sharing composites
Webpage/webapp,Centralised
Web,Centralised
Public,Web
Fixed,Centralised
Level 3,Execute composite
Web,Web context
Tool documentation,Set/Edit component parameters
Triggers,Turn on/off composite
Composite repository,Centralised
Composite repository,Delete composite
Composite repository,Public
Composite repository,PbEM
Acquire composite,Composites
Browse list,Components
Composites,Examples
Composites,PbEM
Composites,Centralised
Upload/Publish composite,Composites
Share composite on SNS,Composites
Share composite on SNS,Turn on/off composite
Activate component,Set/Edit component parameters
Data flow present,Process composition
Composite repository,Save composite
Explicit control flow,Process composition
Data composition,Process composition
Explicit control flow,Technical expert
Acquire composite,Sharing composites
Share composite on SNS,Sharing composites
Turn on/off composite,Edit composite
Turn on/off composite,Save composite
Upload/Publish composite,Sharing composites
Acquire composite,Centralised
Web context,Centralised
Web context,Public
Level 3,Process composition
Multiple atomic I&Os,Data flow present
Triggers,Explicit control flow
Acquire composite,PbEM
Acquire composite,Examples
Acquire composite,Composite name
Acquire composite,Edit composite
Acquire composite,Save composite
Acquire composite,Delete composite
Share composite on SNS,PbEM
Share composite on SNS,Examples
Share composite on SNS,Edit composite
Share composite on SNS,Save composite
Share composite on SNS,Public
Upload/Publish composite,Centralised
Upload/Publish composite,Composite name
Upload/Publish composite,Save composite
Examples,Upload/Publish composite
Composites,Components
Multiple atomic I&Os,Component repository
Multiple atomic I&Os,Process composition
Suggestions,Component repository
Suggestions,Use in composition
Triggers,Actions
Triggers,Component repository
Composite repository,Components
API / component documentation,Component repository
Execute composite,Process composition
