Option 1,Option 2,
Components,Technical expert,
Components,Interpretation,
Dialog / form,Form,
Webpage/webapp,Fixed,
Composites,Composite repository,
Web,Webpage/webapp,
Web,Fixed,
Components,Actions,
Components,Set/Edit component parameters,
Upload/Publish composite,Acquire composite,
Triggers,Share composite on SNS,
Interpretation,Technical expert,
Components,Use in composition,
Data composition,Data flow present,
PbEM,Examples,
Save composite,Edit composite,
Domain expert,Components,
Component repository,Use in composition,
Delete composite,Save composite,
Rename composite,Save composite,
Process composition,Components,
Activate component,Components,
Acquire composite,Composite repository,
Web context,Fixed,
Share composite on SNS,Composite repository,
Upload/Publish composite,Composite repository,
Web context,Webpage/webapp,
Webpage/webapp,Public,
Composites,Sharing composites,
Webpage/webapp,Centralised,
Web,Centralised,
Web,Public,
Fixed,Centralised,
Execute composite,Level 3,
Web context,Web,
Tool documentation,Set/Edit component parameters,
Triggers,Turn on/off composite,
Composite repository,Centralised,
Composite repository,Delete composite,
Composite repository,Public,
Composite repository,PbEM,
Acquire composite,Composites,
Browse list,Components,
Composites,Examples,
Composites,PbEM,
Composites,Centralised,
Upload/Publish composite,Composites,
Share composite on SNS,Composites,
Share composite on SNS,Turn on/off composite,
Activate component,Set/Edit component parameters,
Data flow present,Process composition,
Composite repository,Save composite,
Explicit control flow,Process composition,
Data composition,Process composition,
Explicit control flow,Technical expert,
Acquire composite,Sharing composites,
Share composite on SNS,Sharing composites,
Turn on/off composite,Edit composite,
Turn on/off composite,Save composite,
Upload/Publish composite,Sharing composites,
Acquire composite,Centralised,
Web context,Centralised,
Web context,Public,
Level 3,Process composition,
Multiple atomic I&Os,Data flow present,
Triggers,Explicit control flow,
Acquire composite,PbEM,
Acquire composite,Examples,
Acquire composite,Composite name,
Acquire composite,Edit composite,
Acquire composite,Save composite,
Acquire composite,Delete composite,
Share composite on SNS,PbEM,
Share composite on SNS,Examples,
Share composite on SNS,Edit composite,
Share composite on SNS,Save composite,
Share composite on SNS,Public,
Upload/Publish composite,Centralised,
Upload/Publish composite,Composite name,
Upload/Publish composite,Save composite,
Upload/Publish composite,Examples,
Branches,Actions,
Web context,Actions,
Upload/Publish composite,Actions,
Acquire composite,Actions,
Share composite on SNS,Actions,
Execute composite,Actions,
Multiple atomic I&Os,Actions,
Composites,Components,
Multiple atomic I&Os,Component repository,
Multiple atomic I&Os,Process composition,
Suggestions,Component repository,
Suggestions,Use in composition,
Triggers,Actions,
Triggers,Component repository,
Composite repository,Components,
API / component documentation,Component repository,
Execute composite,Process composition,
Drag & drop,Interpretation,
Forum,Interpretation,
Domain-specific,Interpretation,
Suggestions,Interpretation,
Screencasts,Interpretation,
API / component documentation,Interpretation,
Triggers,Interpretation,
Branches,Interpretation,
Web context,Interpretation,
Upload/Publish composite,Interpretation,
Acquire composite,Interpretation,
Share composite on SNS,Interpretation,
Execute composite,Interpretation,
Multiple atomic I&Os,Interpretation,
Drag & drop,Components,
Forum,Components,
Domain-specific,Components,
Suggestions,Components,
Screencasts,Components,
API / component documentation,Components,
Triggers,Components,
Branches,Components,
Web context,Components,
Upload/Publish composite,Components,
Acquire composite,Components,
Share composite on SNS,Components,
Execute composite,Components,
Multiple atomic I&Os,Components,
Multiple atomic I&Os,Components,
