participant,Condition,Level,Representation
1,1,1,Tree
6,1,2,Tree
13,1,3,Tree
16,1,4,Tree
38,1,5,Tree
30,1,6,Tree
31,1,6,Tree
24,1,7,Tree
2,2,3,Tree
14,2,3,Tree
22,2,3,Tree
4,2,4,Tree
41,2,5,Tree
37,2,5,Tree
26,2,5,Tree
17,2,6,Tree
15,2,2,List
39,2,2,List
28,2,3,List
3,2,4,List
35,2,4,List
8,2,5,List
21,2,6,List
18,2,6,List
27,3,8,Tree
7,3,8,Tree
5,3,8,Tree
40,3,9,Tree
11,3,9,Tree
20,3,9,Tree
33,3,10,Tree
25,3,10,Tree
19,3,7,List
9,3,7,List
10,3,7,List
12,3,8,List
26,3,8,List
23,3,8,List
29,3,8,List
32,3,10,List
1,1,1,List
6,1,2,List
13,1,3,List
16,1,4,List
38,1,5,List
30,1,6,List
31,1,6,List
24,1,7,List
