Condition,Total,Representation
1,7,tree
1,8,tree
1,20,tree
1,29,tree
1,40,tree
1,21,tree
1,16,tree
1,25,tree
2,28,tree
2,36,tree
2,16,tree
2,35,tree
2,27,tree
2,33,tree
2,46,tree
2,41,tree
3,40,tree
3,47,tree
3,100,tree
3,77,tree
3,148,tree
3,46,tree
3,90,tree
3,76,tree
1,7,list
1,8,list
1,20,list
1,29,list
1,40,list
1,21,list
1,16,list
1,25,list
2,20,list
2,48,list
2,13,list
2,32,list
2,18,list
2,30,list
2,19,list
2,8,list
3,29,list
3,20,list
3,83,list
3,41,list
3,59,list
3,67,list
3,106,list
3,44,list
