participant,condition,functional,non-functional,structural,entity,total balance
1,1,0,0,0,0,0
2,2,1,0,0,0,1
3,3,1,0,0,0,1
4,2,1,0,0,0,1
5,4,1,0,0,0,1
6,1,0,0,0,0,0
7,4,1,0,0,1,2
8,3,0,1,0,0,1
9,5,0,0,0,0,0
10,5,0,0,0,0,0
11,4,1,1,1,1,4
12,5,1,1,1,1,4
13,1,1,0,0,0,1
14,2,0,0,0,0,0
15,3,0,0,0,0,0
16,1,0,0,0,0,0
17,2,0,0,1,0,1
18,3,0,0,0,0,0
19,5,1,1,0,0,2
20,4,1,1,1,1,4
21,3,0,0,0,0,0
22,2,0,0,0,0,0
23,5,1,0,0,1,2
24,1,1,0,0,0,1
25,4,1,1,1,1,4
26,2,1,0,0,0,1
27,4,1,1,0,1,3
28,3,0,0,0,0,0
29,5,1,1,0,1,3
30,1,0,0,0,0,0
31,1,0,0,0,0,0
32,5,1,1,1,1,4
33,4,1,1,1,1,4
35,3,0,0,0,0,0
36,5,1,0,1,0,2
37,2,0,0,0,0,0
38,1,0,0,0,0,0
39,3,0,0,0,0,0
40,4,1,1,1,1,4
41,2,1,0,0,0,1
