participant,condition,functional,non-functional,structural,entity,total balance,repersentation
1,1,1,0,1,1,3,tree
6,1,1,0,0,1,2,tree
13,1,1,0,0,0,1,tree
16,1,1,1,1,1,4,tree
24,1,1,1,1,1,4,tree
30,1,1,1,1,1,4,tree
31,1,1,1,1,1,4,tree
38,1,1,1,1,1,4,tree
2,2,1,1,1,1,4,tree
4,2,1,1,1,0,3,tree
14,2,1,1,1,1,4,tree
17,2,1,1,1,1,4,tree
22,2,1,1,0,1,3,tree
26,2,1,1,1,1,4,tree
37,2,1,1,1,1,4,tree
41,2,1,1,1,1,4,tree
3,3,1,1,1,0,3,list
8,3,1,1,1,0,3,list
15,3,1,1,0,0,2,list
18,3,1,1,1,0,3,list
21,3,1,1,1,1,4,list
28,3,1,1,1,0,3,list
35,3,1,1,1,1,4,list
39,3,1,0,0,0,1,list
5,4,1,1,1,1,4,tree
7,4,1,1,1,1,4,tree
11,4,1,1,1,1,4,tree
20,4,1,1,1,1,4,tree
25,4,1,1,1,1,4,tree
27,4,1,1,1,1,4,tree
33,4,1,1,1,1,4,tree
40,4,1,1,1,1,4,tree
9,5,1,1,1,1,4,list
10,5,1,1,1,0,3,list
12,5,1,1,1,1,4,list
19,5,1,1,1,1,4,list
23,5,1,1,1,1,4,list
29,5,1,1,1,1,4,list
32,5,1,1,1,1,4,list
36,5,1,1,1,1,4,list
1,1,1,0,1,1,3,list
6,1,1,0,0,1,2,list
13,1,1,0,0,0,1,list
16,1,1,1,1,1,4,list
24,1,1,1,1,1,4,list
30,1,1,1,1,1,4,list
31,1,1,1,1,1,4,list
38,1,1,1,1,1,4,list
