participant,condition,functional,non-functional,structural,entity
1,1,1,0,5,5
2,2,12,3,3,4
3,3,13,2,4,0
4,2,12,5,9,0
5,4,16,10,8,6
6,1,3,0,0,4
7,4,17,9,4,18
8,3,9,11,10,0
9,5,10,5,4,10
10,5,9,6,5,0
11,4,24,24,20,31
12,5,27,23,14,19
13,1,12,0,0,0
14,2,5,1,2,2
15,3,5,2,0,0
16,1,8,3,2,2
17,2,8,2,20,3
18,3,10,6,4,0
19,5,18,12,3,8
20,4,15,15,17,19
21,3,10,1,1,1
22,2,9,4,0,2
23,5,23,9,8,15
24,1,14,5,3,4
25,4,43,32,27,45
26,2,12,2,8,5
27,4,16,11,5,13
28,3,8,5,2,0
29,5,18,17,7,23
30,1,7,6,5,3
31,1,6,6,5,8
32,5,26,19,18,42
33,4,30,13,15,32
35,3,4,6,3,1
36,5,12,6,15,10
37,2,10,8,3,6
38,1,8,1,2,4
39,3,4,0,0,0
40,4,19,14,12,31
41,2,15,7,8,2
