"","participant","condition","functional","non.functional","structural","entity","x"
"1",1,1,1,0,5,5,0.238103305553544
"2",2,2,12,3,3,4,0.238103305553544
"3",3,3,13,2,4,0,0.213309305083417
"4",4,2,12,5,9,0,0.213309305083417
"5",5,4,16,10,8,6,0.213309305083417
"6",6,1,3,0,0,4,0.238103305553544
"7",7,4,17,9,4,18,0.213309305083417
"8",8,3,9,11,10,0,0.213309305083417
"9",9,5,10,5,4,10,0.238103305553544
"10",10,5,9,6,5,0,0.213309305083417
"11",11,4,24,24,20,31,0.238103305553544
"12",12,5,27,23,14,19,0.213309305083417
"13",13,1,12,0,0,0,0.261464129949111
"14",14,2,5,1,2,2,0.238103305553544
"15",15,3,5,2,0,0,0.238103305553544
"16",16,1,8,3,2,2,0.238103305553544
"17",17,2,8,2,20,3,0.213309305083417
"18",18,3,10,6,4,0,0.213309305083417
"19",19,5,18,12,3,8,0.213309305083417
"20",20,4,15,15,17,19,0.238103305553544
"21",21,3,10,1,1,1,0.261464129949111
"22",22,2,9,4,0,2,0.213309305083417
"23",23,5,23,9,8,15,0.213309305083417
"24",24,1,14,5,3,4,0.213309305083417
"25",25,4,43,32,27,45,0.213309305083417
"26",26,2,12,2,8,5,0.213309305083417
"27",27,4,16,11,5,13,0.213309305083417
"28",28,3,8,5,2,0,0.213309305083417
"29",29,5,18,17,7,23,0.213309305083417
"30",30,1,7,6,5,3,0.213309305083417
"31",31,1,6,6,5,8,0.238103305553544
"32",32,5,26,19,18,42,0.213309305083417
"33",33,4,30,13,15,32,0.213309305083417
"34",35,3,4,6,3,1,0.213309305083417
"35",36,5,12,6,15,10,0.213309305083417
"36",37,2,10,8,3,6,0.213309305083417
"37",38,1,8,1,2,4,0.213309305083417
"38",39,3,4,0,0,0,0.261464129949111
"39",40,4,19,14,12,31,0.213309305083417
"40",41,2,15,7,8,2,0.213309305083417
