"","participant","condition","Discovery","Specification","Component.creation","Management","Execution","Composition","Usability","Community...Online","Target.user","UI.Representation","Safety","Flexibility","Quality","Operability","Functional.suitabili","Reliability","Security","Compatibility","Maintainability","Transferability","Application.Structur","Composition.Structur","Technologies","Composite","Components","x"
"1",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,5,0.00760787554415094
"2",2,2,3,0,3,0,5,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,2,2,0.021276665330479
"3",3,3,9,2,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0.010231824178938
"4",4,2,7,0,1,1,2,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0.00207240818720247
"5",5,4,8,0,0,0,1,7,1,1,1,5,0,0,0,2,0,0,0,0,0,0,3,4,1,5,1,0.0018490698342005
"6",6,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0222930213073653
"7",7,4,10,0,0,1,2,4,0,3,1,5,0,0,0,0,0,0,0,0,0,0,2,2,0,9,9,0.00151112363089133
"8",8,3,5,0,1,0,1,2,0,4,2,2,0,0,0,3,0,0,0,0,0,0,3,7,0,0,0,0.028108772945704
"9",9,5,5,0,0,0,1,4,1,0,0,3,0,0,0,1,0,0,0,0,0,0,1,3,0,7,3,0.00209303827176446
"10",10,5,6,0,0,0,2,1,0,0,1,3,0,0,0,2,0,0,0,0,0,0,1,1,3,0,0,0.0104658466588963
"11",11,4,13,0,0,0,0,11,1,5,4,8,0,0,0,5,1,0,0,0,0,0,7,9,4,15,16,2.66468692923401e-05
"12",12,5,13,0,0,1,3,10,1,5,3,8,0,0,0,5,1,0,0,0,0,0,7,6,1,8,11,4.1620633542197e-05
"13",13,1,7,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00760787554415094
"14",14,2,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0.00760787554415094
"15",15,3,3,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222930213073653
"16",16,1,4,0,0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0.0869958657916098
"17",17,2,3,0,0,4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,15,5,0,0,3,0.00250170948098965
"18",18,3,4,0,2,2,1,1,0,1,1,2,0,0,0,1,1,0,0,0,0,0,3,1,0,0,0,0.00857435629182669
"19",19,5,11,0,0,0,1,6,1,0,2,7,0,0,0,1,1,0,0,0,0,0,1,2,0,5,3,0.00048206481936911
"20",20,4,10,0,0,0,1,4,1,2,5,5,0,0,0,2,0,0,0,0,0,0,8,7,2,0,19,4.87258366028105e-05
"21",21,3,1,0,4,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0304825222936017
"22",22,2,5,0,0,1,1,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.00698392030403958
"23",23,5,8,0,1,8,3,3,1,3,2,1,0,0,0,2,0,0,0,0,0,0,5,3,0,7,8,0.0050931886949093
"24",24,1,5,0,0,7,1,1,0,3,0,0,0,0,0,1,0,0,0,0,1,0,2,1,0,0,4,0.00920731119200745
"25",25,4,15,1,0,0,7,20,1,6,5,13,0,0,0,6,1,0,0,0,0,0,10,12,5,21,24,7.13169592454288e-06
"26",26,2,9,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5,3,0,1,4,0.000354174347156683
"27",27,4,7,0,0,1,1,7,1,3,2,3,0,0,0,1,1,0,0,0,0,0,1,4,0,10,3,0.00208133381790299
"28",28,3,4,0,0,3,1,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0.0103780986848424
"29",29,5,9,0,0,1,2,6,1,4,2,6,0,0,0,4,0,0,0,0,0,0,4,3,0,12,11,4.87258366028105e-05
"30",30,1,1,0,1,3,0,2,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,5,0,2,1,0.0248547929865337
"31",31,1,1,0,1,3,1,0,0,1,1,1,0,0,0,2,0,0,1,0,0,0,2,3,0,0,8,0.0321960013254134
"32",32,5,16,0,0,1,2,7,1,3,3,8,0,0,0,3,1,0,0,0,0,0,10,8,0,21,21,0.000132492585717004
"33",33,4,11,1,0,1,5,12,1,2,3,0,0,0,0,6,1,0,0,0,0,0,7,7,1,17,15,0.000965424579529806
"34",35,3,2,0,0,0,0,2,0,0,0,4,0,0,0,0,2,0,0,0,0,0,2,1,0,0,1,0.0165219214548268
"35",36,5,2,0,0,0,3,7,0,2,2,0,0,0,0,2,0,0,0,0,0,0,7,6,2,7,3,0.00268628289465501
"36",37,2,4,0,0,1,1,4,0,0,1,6,0,0,0,1,0,0,0,0,0,0,1,2,0,2,4,0.00527023311658229
"37",38,1,2,0,0,2,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0.00268628289465501
"38",39,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222930213073653
"39",40,4,10,0,0,0,4,5,1,1,2,4,0,0,0,5,1,0,0,0,0,0,5,7,0,17,14,0.000575337810372247
"40",41,2,9,0,0,3,1,2,0,4,0,1,0,0,0,1,1,0,0,0,0,0,4,4,0,1,1,0.00557910831872266
