participant,condition,functional,non-functional,structural,entity,total balance
1,1,1,0,1,1,3
2,2,1,1,1,1,4
3,3,1,1,1,0,3
4,2,1,1,1,0,3
5,4,1,1,1,1,4
6,1,1,0,0,1,2
7,4,1,1,1,1,4
8,3,1,1,1,0,3
9,5,1,1,1,1,4
10,5,1,1,1,0,3
11,4,1,1,1,1,4
12,5,1,1,1,1,4
13,1,1,0,0,0,1
14,2,1,1,1,1,4
15,3,1,1,0,0,2
16,1,1,1,1,1,4
17,2,1,1,1,1,4
18,3,1,1,1,0,3
19,5,1,1,1,1,4
20,4,1,1,1,1,4
21,3,1,1,1,1,4
22,2,1,1,0,1,3
23,5,1,1,1,1,4
24,1,1,1,1,1,4
25,4,1,1,1,1,4
26,2,1,1,1,1,4
27,4,1,1,1,1,4
28,3,1,1,1,0,3
29,5,1,1,1,1,4
30,1,1,1,1,1,4
31,1,1,1,1,1,4
32,5,1,1,1,1,4
33,4,1,1,1,1,4
35,3,1,1,1,1,4
36,5,1,1,1,1,4
37,2,1,1,1,1,4
38,1,1,1,1,1,4
39,3,1,0,0,0,1
40,4,1,1,1,1,4
41,2,1,1,1,1,4
