p,c,1,2,3,4,5,6,7,8,9,10
1,1,3,2,2,2,2,0,0,0,0,0
2,2,4,4,4,2,1,1,1,1,1,1
3,3,3,3,2,2,1,1,1,1,1,1
4,2,3,3,3,3,3,2,2,2,2,1
5,4,4,4,4,4,4,4,3,3,2,2
6,1,2,2,2,1,0,0,0,0,0,0
7,4,4,4,4,4,3,3,3,3,3,2
8,3,3,3,3,3,3,3,3,3,3,2
9,5,4,4,4,4,3,2,2,2,2,2
10,5,3,3,3,3,3,2,1,1,1,0
11,4,4,4,4,4,4,4,4,4,4,4
12,5,4,4,4,4,4,4,4,4,4,4
13,1,1,1,1,1,1,1,1,1,1,1
14,2,4,3,1,1,1,0,0,0,0,0
15,3,2,2,1,1,1,0,0,0,0,0
16,1,4,4,2,1,1,1,1,1,0,0
17,2,4,4,3,2,2,2,2,2,1,1
18,3,3,3,3,3,2,2,1,1,1,1
19,5,4,4,4,3,3,3,3,3,2,2
20,4,4,4,4,4,4,4,4,4,4,4
21,3,4,1,1,1,1,1,1,1,1,1
22,2,3,3,2,2,1,1,1,1,1,0
23,5,4,4,4,4,4,4,4,4,3,2
24,1,4,4,4,3,2,1,1,1,1,1
25,4,4,4,4,4,4,4,4,4,4,4
26,2,4,4,3,3,3,2,2,2,1,1
27,4,4,4,4,4,4,3,3,3,3,3
28,3,3,3,2,2,2,1,1,1,0,0
29,5,4,4,4,4,4,4,4,3,3,3
30,1,4,4,4,3,3,2,1,0,0,0
31,1,4,4,4,4,4,3,1,1,0,0
32,5,4,4,4,4,4,4,4,4,4,4
33,4,4,4,4,4,4,4,4,4,4,4
35,3,4,3,3,2,1,1,0,0,0,0
36,5,4,4,4,4,4,4,3,3,3,3
37,2,4,4,4,3,3,3,2,2,1,1
38,1,4,3,2,2,1,1,1,1,0,0
39,3,1,1,1,1,0,0,0,0,0,0
40,4,4,4,4,4,4,4,4,4,4,4
41,2,4,4,3,3,3,3,3,2,1,1
