p,c,1,2,3,4,5,6,7,8,9,10
1,1,4,2,2,2,1,0,0,0,0,0
2,2,10,7,3,1,1,0,0,0,0,0
3,3,6,4,2,2,1,1,1,1,1,0
4,2,9,5,4,4,2,1,1,0,0,0
5,4,13,7,6,5,4,2,2,1,0,0
6,1,2,2,2,1,0,0,0,0,0,0
7,4,11,9,6,5,4,3,3,3,3,1
8,3,10,8,5,3,2,1,1,0,0,0
9,5,10,6,6,3,2,1,1,0,0,0
10,5,9,5,3,1,1,1,0,0,0,0
11,4,13,11,11,11,9,7,7,6,5,4
12,5,15,11,11,9,9,7,6,5,3,3
13,1,4,3,1,1,1,1,1,0,0,0
14,2,5,4,1,0,0,0,0,0,0,0
15,3,5,1,1,0,0,0,0,0,0,0
16,1,7,6,1,1,0,0,0,0,0,0
17,2,8,5,5,3,2,1,1,1,1,1
18,3,12,5,2,1,0,0,0,0,0,0
19,5,12,7,5,4,4,3,2,1,1,1
20,4,12,10,7,7,6,4,4,3,2,2
21,3,7,3,2,1,0,0,0,0,0,0
22,2,7,4,2,1,1,0,0,0,0,0
23,5,14,11,9,5,5,4,4,3,0,0
24,1,10,5,4,3,2,1,1,0,0,0
25,4,15,12,12,12,12,10,8,7,7,7
26,2,9,5,4,3,2,1,1,1,1,0
27,4,14,8,7,4,3,3,3,1,1,1
28,3,8,4,2,1,0,0,0,0,0,0
29,5,13,11,9,8,5,5,3,3,3,2
30,1,10,5,3,2,1,0,0,0,0,0
31,1,12,5,3,1,1,1,1,1,0,0
32,5,14,11,10,7,7,7,7,6,4,4
33,4,15,10,9,8,8,7,6,4,4,4
35,3,7,5,1,1,0,0,0,0,0,0
36,5,11,11,6,4,4,4,3,0,0,0
37,2,11,6,4,4,1,1,0,0,0,0
38,1,7,5,2,1,0,0,0,0,0,0
39,3,3,1,0,0,0,0,0,0,0,0
40,4,13,10,9,9,7,4,4,3,3,3
41,2,12,6,5,4,1,1,1,1,1,0
