condition,completeness,level
4,4,1
4,4,1
5,4,1
4,4,1
5,4,1
4,4,1
5,4,1
5,4,1
2,4,1
4,4,1
4,4,1
5,4,1
5,4,1
4,4,1
4,4,1
5,4,1
3,3,1
2,4,1
2,4,1
2,4,1
1,4,1
2,4,1
3,4,1
3,3,1
2,3,1
3,3,1
1,1,1
1,4,1
1,4,1
1,4,1
3,4,1
1,4,1
2,4,1
5,3,1
3,3,1
2,3,1
1,3,1
3,2,1
1,2,1
3,1,1
4,4,10
4,4,10
5,4,10
4,4,10
5,4,10
4,4,10
5,3,10
5,2,10
2,1,10
4,4,10
4,3,10
5,3,10
5,2,10
4,2,10
4,2,10
5,2,10
3,2,10
2,1,10
2,1,10
2,1,10
1,1,10
2,1,10
3,1,10
3,1,10
2,1,10
3,1,10
1,1,10
1,0,10
1,0,10
1,0,10
3,0,10
1,0,10
2,0,10
5,0,10
3,0,10
2,0,10
1,0,10
3,0,10
1,0,10
3,0,10
4,4,20
4,4,20
5,2,20
4,2,20
5,2,20
4,1,20
5,1,20
5,1,20
2,1,20
4,0,20
4,0,20
5,0,20
5,0,20
4,0,20
4,0,20
5,0,20
3,0,20
2,0,20
2,0,20
2,0,20
1,0,20
2,0,20
3,0,20
3,0,20
2,0,20
3,0,20
1,0,20
1,0,20
1,0,20
1,0,20
3,0,20
1,0,20
2,0,20
5,0,20
3,0,20
2,0,20
1,0,20
3,0,20
1,0,20
3,0,20
