condition,representation,groups_1,groups_10,groups_20,categories_1,categories_10,categories_20
1,List,10,0,0,4,1,0
1,List,4,0,0,1,1,0
1,List,12,0,0,4,0,0
1,List,10,0,0,4,0,0
1,List,7,0,0,4,0,0
1,List,7,0,0,4,0,0
1,List,4,0,0,3,0,0
1,List,2,0,0,2,0,0
2,List,10,0,0,3,2,0
2,List,7,0,0,4,1,0
2,List,12,0,0,3,1,0
2,List,6,0,0,3,1,0
2,List,7,0,0,4,0,0
2,List,8,0,0,3,0,0
2,List,5,0,0,2,0,0
2,List,3,0,0,1,0,0
3,List,14,4,2,4,4,2
3,List,15,3,0,4,4,2
3,List,13,2,0,4,3,1
3,List,14,0,0,4,2,1
3,List,11,0,0,4,3,0
3,List,12,1,0,4,2,0
3,List,10,0,0,4,2,0
3,List,9,0,0,3,0,0
,r,0.593179317,0.491869377,0.255376959,0.270632939,0.706018086,0.514495755
,,,,,,,
,,,,,,,
1,Tree,10,0,0,4,1,0
1,Tree,4,0,0,1,1,0
1,Tree,12,0,0,4,0,0
1,Tree,10,0,0,4,0,0
1,Tree,7,0,0,4,0,0
1,Tree,7,0,0,4,0,0
1,Tree,4,0,0,3,0,0
1,Tree,2,0,0,2,0,0
2,Tree,8,1,0,4,1,1
2,Tree,12,0,0,4,1,0
2,Tree,11,0,0,4,1,0
2,Tree,10,0,0,4,1,0
2,Tree,9,0,0,4,1,0
2,Tree,9,0,0,3,1,0
2,Tree,5,0,0,4,0,0
2,Tree,7,0,0,3,0,0
3,Tree,15,7,3,4,4,4
3,Tree,13,4,0,4,4,4
3,Tree,15,4,0,4,4,2
3,Tree,13,3,0,4,4,1
3,Tree,12,2,0,4,4,0
3,Tree,14,1,0,4,3,0
3,Tree,11,1,0,4,2,0
3,Tree,13,0,0,4,2,0
,r,0.722944039,0.635261782,0.255376959,0.410791918,0.850845593,0.486135912
