participant,condition,total,causals,cperd
1,1,11,28,2.545454545
6,1,8,4,0.5
13,1,12,6,0.5
16,1,15,3,0.2
24,1,26,66,2.538461538
30,1,21,22,1.047619048
31,1,25,9,0.36
38,1,15,13,0.866666667
3,3,19,9,0.473684211
8,3,30,11,0.366666667
15,3,7,1,0.142857143
18,3,20,8,0.4
21,3,13,9,0.692307692
28,3,15,13,0.866666667
35,3,14,10,0.714285714
39,3,4,1,0.25
9,5,29,5,0.172413793
10,5,20,5,0.25
12,5,83,97,1.168674699
19,5,41,48,1.170731707
23,5,55,71,1.290909091
29,5,66,81,1.227272727
32,5,106,234,2.20754717
36,5,44,22,0.5
