participant,condition,total,causals,cperd,representation
1,1,11,28,2.545454545,Tree
6,1,8,4,0.5,Tree
13,1,12,6,0.5,Tree
16,1,15,3,0.2,Tree
24,1,26,66,2.538461538,Tree
30,1,21,22,1.047619048,Tree
31,1,25,9,0.36,Tree
38,1,15,13,0.866666667,Tree
2,2,22,6,0.272727273,Tree
4,2,26,10,0.384615385,Tree
14,2,10,3,0.3,Tree
17,2,34,31,0.911764706,Tree
22,2,15,10,0.666666667,Tree
26,2,27,15,0.555555556,Tree
37,2,27,12,0.444444444,Tree
41,2,32,42,1.3125,Tree
3,3,19,9,0.473684211,List
8,3,30,11,0.366666667,List
15,3,7,1,0.142857143,List
18,3,20,8,0.4,List
21,3,13,9,0.692307692,List
28,3,15,13,0.866666667,List
35,3,14,10,0.714285714,List
39,3,4,1,0.25,List
5,4,40,23,0.575,Tree
7,4,48,3,0.0625,Tree
11,4,100,117,1.17,Tree
20,4,66,93,1.409090909,Tree
25,4,148,263,1.777027027,Tree
27,4,46,42,0.913043478,Tree
33,4,90,175,1.944444444,Tree
40,4,76,232,3.052631579,Tree
9,5,29,5,0.172413793,List
10,5,20,5,0.25,List
12,5,83,97,1.168674699,List
19,5,41,48,1.170731707,List
23,5,55,71,1.290909091,List
29,5,66,81,1.227272727,List
32,5,106,234,2.20754717,List
36,5,44,22,0.5,List
1,1,11,28,2.545454545,List
6,1,8,4,0.5,List
13,1,12,6,0.5,List
16,1,15,3,0.2,List
24,1,26,66,2.538461538,List
30,1,21,22,1.047619048,List
31,1,25,9,0.36,List
38,1,15,13,0.866666667,List
