participant,condition,total,reopresentation
1,1,11,Tree
6,1,8,Tree
13,1,12,Tree
16,1,15,Tree
24,1,26,Tree
30,1,21,Tree
38,1,15,Tree
31,1,25,Tree
2,2,22,Tree
4,2,26,Tree
14,2,10,Tree
17,2,34,Tree
22,2,15,Tree
26,2,27,Tree
37,2,27,Tree
41,2,32,Tree
3,2,19,List
8,2,30,List
15,2,7,List
18,2,20,List
21,2,13,List
28,2,15,List
35,2,14,List
39,2,4,List
5,3,40,Tree
7,3,48,Tree
11,3,100,Tree
20,3,66,Tree
25,3,148,Tree
27,3,46,Tree
33,3,90,Tree
40,3,76,Tree
9,3,29,List
10,3,20,List
12,3,83,List
19,3,41,List
23,3,55,List
29,3,66,List
32,3,106,List
36,3,44,List
1,1,11,List
6,1,8,List
13,1,12,List
16,1,15,List
24,1,26,List
30,1,21,List
38,1,15,List
31,1,25,List
