id,condition,customs,things,total
1,1,11,0,11
2,2,7,0,7
3,3,11,0,11
4,2,8,0,8
5,4,1,39,40
9,5,0,29,29
6,1,8,0,8
7,4,0,46,46
8,3,30,0,30
10,5,1,19,20
11,4,0,100,100
12,5,0,83,83
13,1,9,0,9
14,2,6,0,6
15,3,7,0,7
16,1,10,0,10
17,2,23,0,23
18,3,18,0,18
19,5,2,39,41
20,4,9,57,66
21,3,13,0,13
22,2,10,0,10
23,5,18,32,50
24,1,26,0,26
25,4,0,148,148
26,2,13,0,13
27,4,0,46,46
28,3,6,0,6
29,5,0,64,64
30,1,17,0,17
32,5,0,106,106
33,4,0,90,90
34,1,17,0,17
35,3,10,0,10
36,5,0,44,44
37,2,17,0,17
38,1,15,0,15
39,3,4,0,4
40,4,0,76,76
41,2,17,0,17
31,1,23,0,23
