participant,condition,level,representation
1,1,8,Tree
6,1,6,Tree
13,1,3,Tree
16,1,3,Tree
24,1,5,Tree
31,1,9,Tree
32,1,10,Tree
38,1,5,Tree
2,2,1,Tree
4,2,4,Tree
14,2,3,Tree
17,2,8,Tree
22,2,3,Tree
26,2,4,Tree
37,2,4,Tree
41,2,8,Tree
3,3,3,List
8,3,7,List
15,3,2,List
18,3,8,List
21,3,6,List
29,3,9,List
36,3,9,List
39,3,2,List
5,4,9,Tree
7,4,9,Tree
11,4,10,Tree
20,4,9,Tree
25,4,11,Tree
28,4,3,Tree
35,4,4,Tree
40,4,10,Tree
9,5,8,List
10,5,7,List
12,5,10,List
19,5,9,List
23,5,9,List
27,5,9,List
30,5,4,List
33,5,10,List
1,1,8,List
6,1,6,List
13,1,3,List
16,1,3,List
24,1,5,List
31,1,9,List
32,1,10,List
38,1,5,List
